num	gccon
1	0.426021021773
2	0.431995793161
3	0.431633011264
4	0.436942373345
5	0.435679129151
6	0.444455191575
7	0.439359550166
8	0.436741041317
9	0.436565082822
10	0.439197305304
11	0.440265378667
12	0.440592120872
13	0.439085675009
14	0.437601157709
15	0.438647898754
16	0.439639056525
17	0.439742670639
18	0.441839200204
19	0.441670661646
20	0.441795011832
21	0.443103636887
22	0.444038615138
23	0.443450320171
24	0.445183802842
25	0.443920889896
26	0.444304739112
27	0.446029476857
28	0.445964684911
29	0.445913606598
30	0.447503394248
31	0.446766965548
32	0.446100032504
33	0.446829107517
34	0.447480604443
35	0.447353273033
36	0.447315510856
37	0.447140016107
38	0.448107257832
39	0.448846469009
40	0.448019013587
41	0.448623208419
42	0.449135912783
43	0.448820697979
44	0.448805261861
45	0.449278746561
46	0.448780219575
47	0.449270995377
48	0.449943360875
49	0.449283052774
50	0.449549309246
51	0.450462160187
52	0.450208623606
53	0.449740107614
54	0.450232142155
55	0.450140651687
56	0.45045825147
57	0.450662962219
58	0.450413135606
59	0.450226577202
60	0.451372692398
61	0.451290874348
62	0.450988578184
63	0.451161356706
64	0.450628512514
65	0.450996793113
66	0.451176859073
67	0.451396807191
68	0.451243174756
69	0.45176985775
70	0.451692080915
71	0.451515261178
72	0.452166360608
73	0.451542423446
74	0.451572964434
75	0.451972249769
76	0.451724741886
77	0.451521886121
78	0.452224063864
79	0.451886655501
80	0.45189493668
81	0.45224446869
82	0.452112102322
83	0.452009349451
84	0.452552859802
85	0.452018425624
86	0.451759257841
87	0.452192926631
88	0.452238373742
89	0.4521672881
90	0.452779764111
91	0.452512381398
92	0.452292035783
93	0.452509400173
94	0.452139595837
95	0.451984042168
96	0.452063210241
97	0.452204056536
98	0.452111042331
99	0.452607648083
100	0.453012829617
