percent	num
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	1.0
19	0.0
20	2.0
21	4.0
22	3.0
23	3.0
24	9.0
25	13.0
26	14.0
27	16.0
28	21.0
29	32.0
30	34.0
31	44.0
32	52.0
33	48.0
34	58.0
35	61.0
36	70.0
37	86.0
38	89.0
39	89.0
40	79.0
41	92.0
42	106.0
43	72.0
44	87.0
45	109.0
46	97.0
47	78.0
48	68.0
49	92.0
50	76.0
51	77.0
52	73.0
53	61.0
54	59.0
55	53.0
56	50.0
57	45.0
58	59.0
59	47.0
60	46.0
61	30.0
62	42.0
63	27.0
64	27.0
65	18.0
66	24.0
67	17.0
68	15.0
69	7.0
70	2.0
71	3.0
72	2.0
73	3.0
74	2.0
75	0.0
76	2.0
77	1.0
78	0.0
79	0.0
80	0.0
81	0.0
82	2.0
83	1.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
