num	gccon
1	0.435643564356
2	0.429642964296
3	0.434443444344
4	0.434843484348
5	0.433243324332
6	0.464846484648
7	0.427242724272
8	0.440844084408
9	0.436843684368
10	0.439243924392
11	0.42804280428
12	0.445644564456
13	0.4400440044
14	0.440844084408
15	0.442444244424
16	0.449644964496
17	0.429642964296
18	0.441644164416
19	0.440444044404
20	0.436443644364
21	0.440444044404
22	0.442844284428
23	0.439243924392
24	0.449644964496
25	0.436843684368
26	0.42604260426
27	0.448444844484
28	0.458845884588
29	0.42604260426
30	0.448444844484
31	0.439243924392
32	0.440844084408
33	0.445644564456
34	0.42404240424
35	0.44804480448
36	0.454445444544
37	0.464846484648
38	0.45804580458
39	0.438843884388
40	0.449244924492
41	0.44604460446
42	0.474847484748
43	0.455645564556
44	0.455245524552
45	0.449244924492
46	0.450445044504
47	0.443244324432
48	0.461246124612
49	0.459645964596
50	0.458845884588
51	0.447644764476
52	0.443644364436
53	0.44204420442
54	0.449244924492
55	0.438843884388
56	0.454445444544
57	0.4500450045
58	0.453645364536
59	0.4400440044
60	0.458845884588
61	0.466846684668
62	0.449244924492
63	0.442444244424
64	0.453645364536
65	0.451245124512
66	0.43804380438
67	0.447644764476
68	0.4500450045
69	0.468846884688
70	0.462446244624
71	0.433643364336
72	0.45804580458
73	0.4500450045
74	0.468446844684
75	0.463646364636
76	0.44404440444
77	0.443244324432
78	0.464446444644
79	0.44604460446
80	0.45404540454
81	0.463246324632
82	0.443644364436
83	0.440844084408
84	0.446444644464
85	0.45604560456
86	0.440844084408
87	0.45804580458
88	0.457645764576
89	0.43604360436
90	0.444444444444
91	0.448444844484
92	0.448444844484
93	0.436443644364
94	0.461246124612
95	0.44804480448
96	0.459645964596
97	0.45404540454
98	0.43204320432
99	0.464446444644
100	0.448844884488
